,NOM,NOMBRE
63384,BARRES,252
63392,BARRET,1413
63399,BARRETEAU,221
63491,BARRIE,111
63515,BARRIER,843
63521,BARRIERE,1188
63586,BARRIOL,167
63668,BARROIS,488
63681,BARRON,184
63701,BARROS,213
63780,BARROSO,208
63855,BARROT,263
63873,BARROUILLET,101
63943,BARRY,806
63963,BARSACQ,105
64074,BART,304
64121,BARTEAU,104
64175,BARTH,464
64199,BARTHE,1086
64212,BARTHEL,334
64224,BARTHELEMY,2789
64246,BARTHELET,107
64275,BARTHES,793
64278,BARTHET,122
64286,BARTHEZ,252
64347,BARTHOMEUF,128
64459,BARTOLI,681
64466,BARTOLINI,150
64476,BARTOLO,126
64726,BARY,112
64810,BAS,493
64975,BASCOU,191
64982,BASCOUL,172
65138,BASILE,321
65243,BASLE,205
65333,BASQUE,156
65340,BASQUIN,273
65353,BASS,110
65444,BASSE,192
65509,BASSET,1474
65539,BASSI,201
65641,BASSO,525
65674,BASSON,155
65689,BASSOT,149
65763,BASTARD,580
65850,BASTIAN,376
65862,BASTIANI,128
65882,BASTIDE,1144
65895,BASTIE,174
65899,BASTIEN,1155
65910,BASTIER,120
65923,BASTIN,278
65970,BASTOS,109
66117,BATAILLARD,165
66119,BATAILLE,1393
66129,BATAILLER,113
66139,BATAILLON,139
66218,BATARD,487
66414,BATHILY,168
66459,BATIER,112
66536,BATISSE,236
66545,BATISTA,353
66703,BATLLE,174
66755,BATON,156
66844,BATS,246
66878,BATT,123
66890,BATTAGLIA,280
66917,BATTAIS,190
66984,BATTESTI,264
66993,BATTEUX,212
67030,BATTINI,160
67050,BATTISTELLA,100
67112,BATTUT,249
67142,BATUT,274
67148,BATY,273
67165,BAU,149
67262,BAUCHE,201
67268,BAUCHER,134
67279,BAUCHET,380
67314,BAUD,1378
67329,BAUDART,128
67342,BAUDE,510
67355,BAUDEL,164
67402,BAUDET,1162
67447,BAUDIER,221
67464,BAUDIN,1247
67478,BAUDINO,208
67501,BAUDOIN,1084
67514,BAUDON,372
67536,BAUDOT,438
67545,BAUDOUIN,1163
67559,BAUDOUX,231
67575,BAUDRAND,111
67603,BAUDRIER,156
67624,BAUDRON,142
67634,BAUDRY,1956
67647,BAUDU,223
67656,BAUDUIN,513
67666,BAUDY,216
67672,BAUER,1776
67720,BAUGE,202
67857,BAUM,117
67866,BAUMANN,713
67875,BAUMARD,167
67888,BAUME,137
67920,BAUMGARTEN,202
67927,BAUMGARTNER,291
67946,BAUMONT,132
68010,BAUR,269
68159,BAUTISTA,171
68235,BAUWENS,158
68239,BAUX,296
68312,BAVAY,104
68331,BAVEREL,176
68353,BAVIERE,115
68457,BAY,238
68519,BAYARD,682
68536,BAYART,342
68640,BAYER,341
68653,BAYET,250
68664,BAYEUX,109
68723,BAYLAC,164
68746,BAYLE,1538
68764,BAYLET,153
68818,BAYOL,270
68826,BAYON,281
68904,BAYRAM,119
69044,BAZARD,102
69144,BAZERQUE,115
69197,BAZILE,384
69215,BAZILLE,175
69225,BAZIN,1882
69259,BAZIRE,338
69281,BAZOGE,117
69300,BAZOT,126
69506,BEAL,653
69599,BEASSE,163
69628,BEATRIX,133
69641,BEAU,1050
69672,BEAUBOIS,106
69692,BEAUCAMP,149
69704,BEAUCE,103
69714,BEAUCHAMP,328
69734,BEAUCHENE,106
69740,BEAUCHET,149
69786,BEAUCOURT,202
69793,BEAUD,168
69844,BEAUDET,399
69865,BEAUDIER,108
69880,BEAUDOIN,639
69897,BEAUDOUIN,439
69905,BEAUDOUX,141
69963,BEAUFILS,1238
69977,BEAUFORT,401
69987,BEAUFRERE,169
69998,BEAUGE,179
70013,BEAUGENDRE,252
70019,BEAUGER,110
70049,BEAUGRAND,353
70069,BEAUJARD,223
70075,BEAUJEAN,184
70103,BEAUJOUAN,152
70135,BEAULIEU,618
70168,BEAUME,201
70202,BEAUMONT,1214
70216,BEAUNE,202
70246,BEAUPERE,198
70298,BEAUQUIS,115
70301,BEAURAIN,476
70312,BEAUREGARD,144
70322,BEAUREPAIRE,112
70367,BEAUSOLEIL,118
70381,BEAUSSART,156
70395,BEAUSSIER,152
70432,BEAUTOUR,292
70445,BEAUVAIS,903
70449,BEAUVAL,130
70452,BEAUVALLET,223
70484,BEAUVILLAIN,105
70508,BEAUVOIS,371
70517,BEAUX,135
70631,BEBIN,130
70665,BEC,448
70685,BECAM,107
70702,BECARD,116
70713,BECART,155
70728,BECAUD,110
70848,BECHADE,121
70881,BECHARD,172
70909,BECHE,133
70988,BECHET,498
71118,BECHU,263
71141,BECK,1109
71161,BECKER,1771
71259,BECOT,173
71269,BECOURT,133
71276,BECQ,142
71284,BECQUART,207
71304,BECQUET,540
71337,BECU,224
71340,BECUE,159
71346,BECUWE,211
71382,BEDARD,134
71477,BEDEL,431
71566,BEDIER,121
71579,BEDIN,234
71723,BEDOS,262
71746,BEDOUET,329
71819,BEDROSSIAN,101
71832,BEDU,356
71863,BEE,127
72073,BEGARD,119
72093,BEGAUD,138
72117,BEGEL,106
72195,BEGHIN,251
72219,BEGIN,202
72290,BEGON,254
72305,BEGOT,211
72308,BEGOU,140
72346,BEGUE,1640
72381,BEGUET,137
72389,BEGUIER,115
72394,BEGUIN,759
72438,BEHAGUE,153
72457,BEHAR,265
72645,BEHR,164
72646,BEHRA,129
72803,BEILLARD,168
72979,BEJAOUI,252
73095,BEKAERT,108
73323,BEKKOUCHE,151
73446,BEL,717
73494,BELABBAS,106
73652,BELAID,353
73659,BELAIDI,227
73682,BELAIR,291
73793,BELAN,103
73810,BELANGER,114
73869,BELARBI,339
73969,BELAUD,234
74043,BELBACHIR,126
74221,BELDA,123
74273,BELDJILALI,105
74420,BELET,158
74561,BELGACEM,213
74827,BELHADI,171
74835,BELHADJ,452
74955,BELHAJ,179
75118,BELHASSEN,201
75189,BELHOCINE,112
75192,BELHOMME,139
75291,BELIARD,148
75382,BELIN,1177
75538,BELKACEM,329
75545,BELKACEMI,174
75566,BELKADI,244
75579,BELKAID,111
75741,BELKHEIR,107
75774,BELKHIR,141
75780,BELKHIRI,115
75880,BELL,195
75881,BELLA,137
75996,BELLAHCENE,102
76031,BELLAICHE,468
76106,BELLAMY,458
76115,BELLANCE,108
76127,BELLANGER,1511
76179,BELLARD,188
76272,BELLAY,143
76296,BELLE,477
76317,BELLEC,754
76357,BELLEGARDE,171
76361,BELLEGO,100
76450,BELLENGER,336
76517,BELLET,907
76582,BELLEVILLE,268
76618,BELLI,189
76623,BELLIARD,574
76661,BELLIER,651
76693,BELLIL,122
76707,BELLIN,237
76732,BELLINI,250
76746,BELLION,139
76751,BELLIOT,201
76819,BELLO,334
76827,BELLOC,352
76843,BELLOCQ,326
76866,BELLOIR,234
76887,BELLON,625
76894,BELLONE,170
76902,BELLONI,144
76950,BELLOT,673
77028,BELLOY,104
77104,BELLY,154
77283,BELMOKHTAR,115
77301,BELMONT,166
77303,BELMONTE,501
77440,BELON,155
77476,BELORGEY,132
77494,BELOT,666
77510,BELOTTI,196
77794,BELTRAN,415
77811,BELTRANDO,115
77912,BELVAL,113
77957,BELY,183
78150,BENA,103
78207,BENABDALLAH,191
78208,BEN ABDALLAH,250
78429,BENAC,141
78606,BENAHMED,193
78607,BEN AHMED,219
78672,BENAIM,140
78698,BENAIS,124
78705,BENAISSA,445
78799,BENALI,558
78800,BEN ALI,304
78900,BENAMAR,309
78901,BEN AMAR,151
78902,BENAMARA,248
78923,BENAMEUR,115
78946,BEN AMMAR,158
78962,BEN AMOR,240
79056,BENAOUDA,107
79125,BENARD,2645
79369,BENATTAR,102
79477,BENAYOUN,281
79504,BENAZET,238
79925,BEN BRAHIM,156
80167,BENCHEIKH,132
80293,BENCHETRIT,209
